id,title,avg_rate,geek_rate,num_votes
1,Die Macher,7.67,7.314,4452
54138,Imperial 2030,7.74,7.313,3854
55690,Kingdom Death: Monster,9.04,7.299,1728
36932,Claustrophobia,7.62,7.296,5424
123123,BattleCON: Devastation of Indines,8.13,7.295,2059
25021,Sekigahara: The Unification of Japan,8.05,7.294,2095
463,Magic: The Gathering,7.43,7.293,22171
176494,Isle of Skye: From Chieftain to King,7.54,7.292,7030
40692,Small World,7.37,7.288,41517
15985,Blood Bowl: Living Rulebook,7.87,7.287,2956
3,Samurai,7.44,7.287,11821
155873,Power Grid deluxe: Europe/North America,8.16,7.287,1844
45315,Dungeon Lords,7.46,7.284,10527
760,Battle Line,7.42,7.276,11945
39856,Dixit,7.37,7.276,29625
59959,Letters from Whitechapel,7.49,7.273,8514
40765,Clash of Cultures,7.71,7.272,3791
124708,Mice and Mystics,7.49,7.270,10252
136888,Bruges,7.50,7.262,6739
163745,Star Wars: Armada,8.02,7.261,2457
243,Advanced Squad Leader,7.92,7.261,2885
181279,Fury of Dracula (third edition),7.74,7.259,3607
33160,Endeavor,7.46,7.257,7930
182874,Grand Austria Hotel,7.77,7.254,3172
25292,Merchants & Marauders,7.45,7.253,9315
37046,Ghost Stories,7.39,7.252,13679
105134,Risk Legacy,7.59,7.246,5242
129622,Love Letter,7.33,7.245,33968
63628,The Manhattan Project,7.49,7.242,6421
54625,Space Hulk (third edition),7.57,7.240,5762
25554,Notre Dame,7.40,7.235,9751
2655,Hive,7.34,7.232,19364
121,Dune,7.61,7.232,4500
82222,Xia: Legends of a Drift System,7.83,7.232,3015
176920,Mission: Red Planet (second edition),7.68,7.230,3509
31594,In the Year of the Dragon,7.42,7.230,8111
70919,Takenoko,7.35,7.228,18593
70323,King of Tokyo,7.32,7.227,34538
71,Civilization,7.53,7.227,6100
143693,Glass Road,7.50,7.226,5521
5,Acquire,7.36,7.223,14910
21241,Neuroshima Hex!,7.44,7.223,9384
157969,Sheriff of Nottingham,7.37,7.222,13613
171131,Captain Sonar,7.87,7.219,2658
144344,Rococo,7.58,7.216,4235
54,Tikal,7.34,7.207,13375
79828,A Few Acres of Snow,7.45,7.200,6109
15987,Arkham Horror,7.36,7.199,29332
9217,Saint Petersburg,7.34,7.198,12234
8217,San Juan,7.30,7.197,18403
46213,Telestrations,7.44,7.195,6324
147949,One Night Ultimate Werewolf,7.38,7.195,10302
109276,Kanban: Automotive Revolution,7.79,7.194,2591
21348,Ticket to Ride: Märklin,7.41,7.194,7617
73171,Earth Reborn,7.77,7.192,2828
198773,Codenames: Pictures,7.67,7.187,3285
2653,Survive: Escape from Atlantis!,7.33,7.184,13093
40354,Maria,7.97,7.183,1866
55670,Macao,7.44,7.182,5700
24480,The Pillars of the Earth,7.32,7.181,12812
90137,Blood Bowl: Team Manager – The Card Game,7.40,7.179,7923
25417,BattleLore,7.41,7.176,8559
163068,Trickerion: Legends of Illusion,7.89,7.176,2196
19777,Indonesia,7.74,7.175,2482
13122,Antiquity,7.83,7.174,2186
83330,Mansions of Madness,7.40,7.173,10290
875,Roads & Boats,7.76,7.171,2444
96913,Lancaster,7.49,7.166,4633
712,Blood Bowl (Third Edition),7.58,7.165,4412
39683,At the Gates of Loyang,7.38,7.165,6925
18833,Lord of the Rings: The Confrontation,7.51,7.162,4425
102652,Sentinels of the Multiverse,7.37,7.162,10609
136063,Forbidden Desert,7.30,7.162,13773
66188,Fresco,7.34,7.158,8500
133038,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,7.38,7.157,9222
128996,1775: Rebellion,7.84,7.157,2228
